instrument,datetime,open,high,low,close,volume
AAPL,6/1/2010,7.815005151,8.003089991,7.793036728,7.849311829,876472800
AAPL,6/2/2010,7.960960257,7.968784772,7.834266122,7.943205833,688548000
AAPL,6/3/2010,7.980219971,7.991355259,7.836673835,7.918228149,650106800
AAPL,6/4/2010,7.770467492,7.881512594,7.662733164,7.702757359,758304400
AAPL,6/7/2010,7.772875998,7.798756283,7.53995102,7.551688194,886942000
AAPL,6/8/2010,7.620906007,7.637758814,7.392495497,7.503240108,1000770400
AAPL,6/9/2010,7.567635835,7.580576778,7.297395614,7.318761349,854630000
AAPL,6/10/2010,7.368114925,7.552888987,7.288667631,7.53874588,776356000
AAPL,6/11/2010,7.470132307,7.639559486,7.44425203,7.62902689,545759200
AAPL,6/14/2010,7.702759261,7.798757243,7.644076595,7.652201653,602960400
AAPL,6/15/2010,7.693129089,7.81982325,7.688915888,7.815008163,585074000
AAPL,6/16/2010,7.857438547,8.057561141,7.843294634,8.042514801,783678000
AAPL,6/17/2010,8.143326872,8.212542922,8.110223963,8.181546211,872855200
AAPL,6/18/2010,8.192981246,8.275739322,8.168003392,8.247751236,784621600
AAPL,6/21/2010,8.356691694,8.396415354,8.087053286,8.13038826,776490400
AAPL,6/22/2010,8.190274592,8.304931023,8.170413165,8.241132736,717262000
AAPL,6/23/2010,8.263096359,8.265503901,8.06207064,8.154458046,768457200
AAPL,6/24/2010,8.155362848,8.221569462,8.068091844,8.095176697,714277200
AAPL,6/25/2010,8.127076102,8.133395499,7.999177413,8.025960922,549942400
AAPL,6/28/2010,8.032885067,8.117750168,7.960359831,8.074113846,584948000
AAPL,6/29/2010,7.948317479,7.956443335,7.652798932,7.70907402,1133344800
AAPL,6/30/2010,7.725328109,7.763246112,7.523701988,7.569443703,739452000
AAPL,7/1/2010,7.6528001,7.667847239,7.319363518,7.477655411,1022896000
AAPL,7/2/2010,7.538145099,7.551387389,7.318762961,7.431313992,693842800
AAPL,7/6/2010,7.55349154,7.607659637,7.407838438,7.482170105,615235600
AAPL,7/7/2010,7.538144701,7.787320573,7.515876536,7.784310341,654556000
AAPL,7/8/2010,7.89896681,7.911606409,7.670556419,7.766855717,738144400
AAPL,7/9/2010,7.730742456,7.821324231,7.678680557,7.812898636,433322400
AAPL,7/12/2010,7.78009775,7.880008369,7.669654533,7.742781639,562878400
AAPL,7/13/2010,7.713590367,7.715997106,7.415963946,7.577566624,1190924000
AAPL,7/14/2010,7.504741862,7.697941553,7.49330523,7.605554104,812047600
AAPL,7/15/2010,7.47013636,7.733154079,7.442149066,7.567037582,824866000
AAPL,7/16/2010,7.619097363,7.672964933,7.475551227,7.520390511,1039858400
AAPL,7/19/2010,7.519786714,7.519786714,7.210424748,7.39038372,1024478000
AAPL,7/20/2010,7.309737041,7.610672756,7.222766538,7.58027792,1074950800
AAPL,7/21/2010,7.977515063,7.979320721,7.643777718,7.650999546,1185671200
AAPL,7/22/2010,7.754517185,7.824334314,7.68319494,7.79484272,645318800
AAPL,7/23/2010,7.736761197,7.835769369,7.712385232,7.822527885,533388800
AAPL,7/26/2010,7.824335177,7.827344606,7.755421271,7.802668095,420551600
AAPL,7/27/2010,7.850518565,7.968786323,7.83336522,7.947119236,584771600
AAPL,7/28/2010,7.934779063,8.004596198,7.831859017,7.853224754,519985200
